#time,accel_x,accel_y,accel_z
495.045721,0.000000,-9918.759623,-536.266849
495.046047,370.102971,-9770.718434,-689.485948
495.046373,518.144159,-9992.780217,-689.485948
495.046699,518.144159,-9474.636058,306.438199
495.047026,222.061783,-9030.512492,536.266849
495.047352,370.102971,-8808.450710,689.485948
495.047678,444.123565,-8956.491898,306.438199
495.048004,0.000000,-8808.450710,306.438199
495.048330,222.061783,-9178.553681,689.485948
495.048656,296.082377,-9474.636058,-766.095498
495.048982,0.000000,-9770.718434,-766.095498
495.049308,74.020594,-9548.656652,-766.095498
495.049634,518.144159,-9918.759623,-383.047749
495.049960,444.123565,-10066.800811,-229.828649
495.050287,962.267725,-9622.677246,153.219100
495.050613,740.205942,-9104.533087,536.266849
495.050939,814.226536,-8956.491898,306.438199
495.051265,814.226536,-9474.636058,306.438199
495.051591,296.082377,-9474.636058,0.000000
495.051917,-222.061783,-9474.636058,-383.047749
495.052243,0.000000,-9326.594869,-995.924147
495.052569,-296.082377,-10214.842000,-1608.800546
495.052895,-370.102971,-10140.821405,-1685.410096
495.053221,0.000000,-10436.903782,-766.095498
495.053548,444.123565,-10658.965565,-536.266849
495.053874,222.061783,-9844.739029,-383.047749
495.054200,666.185348,-9770.718434,-229.828649
495.054526,740.205942,-9548.656652,0.000000
495.054852,814.226536,-9622.677246,229.828649
495.055178,222.061783,-9548.656652,0.000000
495.055504,592.164754,-9622.677246,536.266849
495.055830,296.082377,-10066.800811,-459.657299
495.056156,74.020594,-10510.924376,-536.266849
495.056482,0.000000,-10362.883188,-612.876398
495.056809,-222.061783,-9770.718434,-689.485948
495.057135,296.082377,-10214.842000,0.000000
495.057461,74.020594,-9548.656652,-229.828649
495.057787,444.123565,-9400.615463,0.000000
495.058113,518.144159,-8882.471304,995.924147
495.058439,444.123565,-8956.491898,612.876398
495.058765,296.082377,-9030.512492,689.485948
495.059091,296.082377,-9252.574275,383.047749
495.059417,0.000000,-9178.553681,-689.485948
495.059743,0.000000,-9400.615463,-229.828649
495.060070,0.000000,-10214.842000,-612.876398
495.060396,148.041188,-9474.636058,-766.095498
495.060722,222.061783,-9474.636058,-689.485948
495.061048,444.123565,-10066.800811,-153.219100
495.061374,740.205942,-9622.677246,0.000000
495.061700,888.247130,-9400.615463,306.438199
495.062026,740.205942,-9326.594869,459.657299
495.062352,370.102971,-9178.553681,459.657299
495.062678,0.000000,-9178.553681,0.000000
495.063004,0.000000,-9844.739029,0.000000
495.063331,-222.061783,-9770.718434,-766.095498
495.063657,-444.123565,-10140.821405,-1225.752797
495.063983,-444.123565,-10362.883188,-919.314598
495.064309,-592.164754,-10214.842000,-1302.362347
495.064635,-222.061783,-10362.883188,-919.314598
495.064961,592.164754,-10362.883188,-766.095498
495.065287,592.164754,-9548.656652,0.000000
495.065613,444.123565,-9474.636058,306.438199
495.065940,592.164754,-9474.636058,76.609550
495.066266,1184.329507,-9326.594869,842.705048
495.066592,962.267725,-9622.677246,536.266849
495.066918,148.041188,-9918.759623,0.000000
495.067244,222.061783,-10584.944971,-383.047749
495.067570,0.000000,-10510.924376,-612.876398
495.067896,-222.061783,-10140.821405,-766.095498
495.068223,0.000000,-10066.800811,-536.266849
495.068549,370.102971,-9400.615463,-459.657299
495.068875,148.041188,-9400.615463,229.828649
495.069201,592.164754,-9474.636058,612.876398
495.069527,0.000000,-8142.265362,995.924147
495.069853,444.123565,-8734.430116,536.266849
495.070179,370.102971,-8882.471304,383.047749
495.070505,74.020594,-9104.533087,153.219100
495.070832,222.061783,-9548.656652,0.000000
495.071158,518.144159,-9474.636058,-536.266849
495.071484,0.000000,-9622.677246,-1532.190996
495.071810,0.000000,-9696.697840,-306.438199
495.072136,222.061783,-10436.903782,-383.047749
495.072462,740.205942,-10436.903782,-153.219100
495.072788,888.247130,-9622.677246,229.828649
495.073115,666.185348,-9400.615463,229.828649
495.073441,740.205942,-9030.512492,842.705048
495.073767,444.123565,-9474.636058,612.876398
495.074093,518.144159,-9400.615463,383.047749
495.074419,0.000000,-9400.615463,-459.657299
495.074745,-370.102971,-9770.718434,-766.095498
495.075071,-518.144159,-10214.842000,-842.705048
495.075397,-370.102971,-10436.903782,-1378.971896
495.075724,148.041188,-10732.986159,-919.314598
495.076050,0.000000,-10066.800811,-1378.971896
495.076376,370.102971,-9252.574275,76.609550
495.076702,592.164754,-9474.636058,229.828649
495.077028,592.164754,-9474.636058,383.047749
495.077354,740.205942,-9178.553681,383.047749
495.077680,592.164754,-9474.636058,459.657299
495.078007,666.185348,-9400.615463,0.000000
495.078333,296.082377,-9696.697840,-229.828649
495.078659,74.020594,-10214.842000,-612.876398
495.078985,148.041188,-10362.883188,-766.095498
495.079311,148.041188,-10214.842000,-689.485948
495.079637,0.000000,-10214.842000,-536.266849
495.079963,222.061783,-9770.718434,-229.828649
495.080289,444.123565,-9326.594869,0.000000
495.080616,0.000000,-9030.512492,229.828649
495.080942,370.102971,-8438.347739,1072.533697
495.081268,666.185348,-9326.594869,459.657299
495.081594,444.123565,-9104.533087,153.219100
495.081920,0.000000,-9326.594869,0.000000
495.082246,444.123565,-9918.759623,-459.657299
495.082572,74.020594,-9992.780217,0.000000
495.082899,74.020594,-9696.697840,-1149.143247
495.083225,370.102971,-10288.862594,-536.266849
495.083551,444.123565,-10140.821405,-306.438199
495.083877,740.205942,-9844.739029,229.828649
495.084203,740.205942,-9622.677246,383.047749
495.084529,740.205942,-9400.615463,459.657299
495.084855,666.185348,-9178.553681,229.828649
495.085181,74.020594,-9400.615463,-1149.143247
495.085508,-148.041188,-8882.471304,0.000000
495.085834,0.000000,-9770.718434,-995.924147
495.086160,-518.144159,-9992.780217,-842.705048
495.086486,-370.102971,-10214.842000,-1149.143247
495.086812,0.000000,-10881.027347,-995.924147
495.087138,0.000000,-10436.903782,-612.876398
495.087464,148.041188,-9770.718434,0.000000
495.087791,296.082377,-9474.636058,-306.438199
495.088117,444.123565,-9326.594869,229.828649
495.088443,518.144159,-8882.471304,459.657299
495.088769,666.185348,-9252.574275,459.657299
495.089095,222.061783,-9326.594869,306.438199
495.089421,74.020594,-9548.656652,-689.485948
495.089747,370.102971,-10732.986159,-689.485948
495.090073,0.000000,-9918.759623,0.000000
495.090400,148.041188,-10362.883188,-536.266849
495.090726,296.082377,-10436.903782,-995.924147
495.091052,148.041188,-9992.780217,-842.705048
495.091378,518.144159,-9474.636058,0.000000
495.091704,740.205942,-9030.512492,153.219100
495.092030,666.185348,-8956.491898,1685.410096
495.092356,962.267725,-8660.409521,306.438199
495.092683,296.082377,-9252.574275,459.657299
495.093009,148.041188,-9252.574275,0.000000
495.093335,296.082377,-10066.800811,-306.438199
495.093661,222.061783,-10140.821405,-612.876398
495.093987,148.041188,-9992.780217,-1302.362347
495.094313,0.000000,-10140.821405,-612.876398
495.094639,148.041188,-10436.903782,-995.924147
495.094965,444.123565,-9844.739029,0.000000
495.095292,666.185348,-9474.636058,459.657299
495.095618,518.144159,-9474.636058,766.095498
495.095944,518.144159,-9178.553681,459.657299
495.096270,592.164754,-9474.636058,612.876398
495.096596,148.041188,-9400.615463,229.828649
495.096922,0.000000,-9326.594869,-229.828649
495.097248,-222.061783,-9770.718434,-612.876398
495.097575,-666.185348,-10066.800811,-919.314598
495.097901,-148.041188,-10584.944971,-766.095498
495.098227,0.000000,-10436.903782,-459.657299
495.098553,-444.123565,-9918.759623,-689.485948
495.098879,666.185348,-9400.615463,-229.828649
495.099205,592.164754,-9252.574275,842.705048
495.099531,666.185348,-9030.512492,919.314598
495.099857,370.102971,-8882.471304,383.047749
495.100184,74.020594,-9178.553681,0.000000
495.100510,0.000000,-9474.636058,-153.219100
495.100836,148.041188,-9992.780217,-306.438199
495.101162,222.061783,-10066.800811,-919.314598
495.101488,74.020594,-10214.842000,-612.876398
495.101814,592.164754,-10658.965565,-1378.971896
495.102140,222.061783,-10288.862594,-842.705048
495.102467,666.185348,-9622.677246,-306.438199
495.102793,592.164754,-9400.615463,153.219100
495.103119,518.144159,-9104.533087,153.219100
495.103445,962.267725,-8808.450710,229.828649
495.103771,296.082377,-8734.430116,229.828649
495.104097,0.000000,-9474.636058,0.000000
495.104423,0.000000,-9696.697840,-612.876398
495.104749,222.061783,-10140.821405,-995.924147
495.105076,0.000000,-10214.842000,-1149.143247
495.105402,370.102971,-10807.006753,-995.924147
495.105728,444.123565,-10955.047942,-842.705048
495.106054,518.144159,-9474.636058,-229.828649
495.106380,814.226536,-9696.697840,0.000000
495.106706,666.185348,-9400.615463,612.876398
495.107032,444.123565,-8882.471304,536.266849
495.107359,518.144159,-9178.553681,459.657299
495.107685,0.000000,-9104.533087,536.266849
495.108011,0.000000,-9104.533087,459.657299
495.108337,74.020594,-9474.636058,-306.438199
495.108663,-370.102971,-9548.656652,-689.485948
495.108989,0.000000,-10288.862594,-919.314598
495.109315,0.000000,-10288.862594,-689.485948
495.109641,-222.061783,-9918.759623,-536.266849
495.109968,222.061783,-9474.636058,0.000000
495.110294,296.082377,-8956.491898,383.047749
495.110620,444.123565,-8882.471304,919.314598
495.110946,592.164754,-8734.430116,919.314598
495.111272,296.082377,-8956.491898,229.828649
495.111598,370.102971,-9400.615463,-153.219100
495.111924,0.000000,-9696.697840,-689.485948
495.112251,74.020594,-10066.800811,-612.876398
495.112577,0.000000,-10066.800811,-536.266849
495.112903,370.102971,-10584.944971,-306.438199
495.113229,518.144159,-10436.903782,-536.266849
495.113555,518.144159,-9918.759623,-842.705048
495.113881,592.164754,-9548.656652,0.000000
495.114207,370.102971,-9178.553681,76.609550
495.114533,740.205942,-9252.574275,0.000000
495.114860,518.144159,-9400.615463,306.438199
495.115186,370.102971,-9918.759623,-229.828649
495.115512,222.061783,-9696.697840,-459.657299
495.115838,222.061783,-10362.883188,-1072.533697
495.116164,0.000000,-10214.842000,-1225.752797
495.116490,0.000000,-10288.862594,-1149.143247
495.116816,74.020594,-10584.944971,-689.485948
495.117143,444.123565,-10066.800811,-383.047749
495.117469,962.267725,-9770.718434,459.657299
495.117795,888.247130,-9474.636058,459.657299
495.118121,592.164754,-9400.615463,383.047749
495.118447,666.185348,-9474.636058,306.438199
495.118773,518.144159,-9474.636058,306.438199
495.119099,0.000000,-9326.594869,0.000000
495.119425,296.082377,-9770.718434,-766.095498
495.119752,-592.164754,-9474.636058,-689.485948
495.120078,-444.123565,-9622.677246,-612.876398
495.120404,0.000000,-9918.759623,-766.095498
495.120730,-148.041188,-9918.759623,0.000000
495.121056,370.102971,-9474.636058,0.000000
495.121382,518.144159,-9104.533087,536.266849
495.121708,740.205942,-8734.430116,536.266849
495.122035,814.226536,-9030.512492,842.705048
495.122361,518.144159,-9178.553681,0.000000
