#time,accel_x,accel_y,accel_z
2636.528979,0.000000,-9696.697840,0.000000
2636.529307,296.082377,-10214.842000,0.000000
2636.529634,222.061783,-10140.821405,153.219100
2636.529962,888.247130,-9918.759623,153.219100
2636.530290,814.226536,-9844.739029,0.000000
2636.530618,740.205942,-9622.677246,76.609550
2636.530945,740.205942,-9548.656652,76.609550
2636.531273,518.144159,-9474.636058,-383.047749
2636.531601,296.082377,-9030.512492,-689.485948
2636.531929,222.061783,-9400.615463,0.000000
2636.532257,-222.061783,-9326.594869,-612.876398
2636.532584,296.082377,-9844.739029,-536.266849
2636.532912,444.123565,-10214.842000,-459.657299
2636.533240,740.205942,-10214.842000,-306.438199
2636.533568,740.205942,-10066.800811,-306.438199
2636.533896,1036.288319,-10288.862594,0.000000
2636.534223,888.247130,-9992.780217,0.000000
2636.534551,296.082377,-9474.636058,0.000000
2636.534879,296.082377,-9622.677246,76.609550
2636.535207,74.020594,-9474.636058,0.000000
2636.535534,-296.082377,-9326.594869,-153.219100
2636.535862,-518.144159,-9474.636058,-689.485948
2636.536190,-444.123565,-9474.636058,0.000000
2636.536518,0.000000,-9548.656652,-536.266849
2636.536846,0.000000,-9844.739029,-612.876398
2636.537173,222.061783,-9844.739029,-459.657299
2636.537501,370.102971,-10066.800811,0.000000
2636.537829,518.144159,-9696.697840,306.438199
2636.538157,222.061783,-9400.615463,383.047749
2636.538484,0.000000,-8882.471304,0.000000
2636.538812,148.041188,-8586.388927,153.219100
2636.539140,148.041188,-8882.471304,-383.047749
2636.539468,0.000000,-9474.636058,0.000000
2636.539796,-222.061783,-9326.594869,0.000000
2636.540123,0.000000,-9622.677246,-383.047749
2636.540451,148.041188,-9844.739029,-383.047749
2636.540779,0.000000,-9696.697840,-536.266849
2636.541107,740.205942,-9548.656652,153.219100
2636.541435,814.226536,-9548.656652,0.000000
2636.541762,666.185348,-9844.739029,0.000000
2636.542090,518.144159,-9770.718434,-153.219100
2636.542418,296.082377,-9548.656652,-383.047749
2636.542746,222.061783,-9696.697840,-306.438199
2636.543073,74.020594,-9474.636058,-306.438199
2636.543401,0.000000,-9696.697840,-612.876398
2636.543729,444.123565,-10066.800811,-842.705048
2636.544057,666.185348,-9918.759623,-612.876398
2636.544385,1258.350101,-9844.739029,-459.657299
2636.544712,2072.576638,-9844.739029,0.000000
2636.545040,2664.741391,-9696.697840,0.000000
2636.545368,3775.050304,-9326.594869,0.000000
2636.545696,4219.173869,-9474.636058,229.828649
2636.546024,4737.318029,-9548.656652,-229.828649
2636.546351,4811.338623,-9252.574275,0.000000
2636.546679,5403.503377,-8808.450710,-459.657299
2636.547007,5847.626942,-9474.636058,-612.876398
2636.547335,6513.812290,-10436.903782,-229.828649
2636.547662,7994.224174,-11029.068536,0.000000
2636.547990,7920.203579,-10288.862594,612.876398
2636.548318,8956.491898,-9992.780217,919.314598
2636.548646,9400.615463,-9030.512492,153.219100
2636.548974,9844.739029,-8956.491898,536.266849
2636.549301,10362.883188,-8364.327145,612.876398
2636.549629,11399.171507,-8142.265362,536.266849
2636.549957,11695.253884,-8290.306550,919.314598
2636.550285,11621.233289,-8956.491898,0.000000
2636.550612,10955.047942,-8364.327145,536.266849
2636.550940,11103.089130,-9030.512492,76.609550
2636.551268,11769.274478,-9918.759623,-383.047749
2636.551596,12805.562797,-10658.965565,-612.876398
2636.551924,13249.686362,-10732.986159,0.000000
2636.552251,13693.809927,-9992.780217,1072.533697
2636.552579,13545.768739,-9030.512492,1072.533697
2636.552907,12361.439231,-9252.574275,1225.752797
2636.553235,11547.212695,-9104.533087,842.705048
2636.553563,10066.800811,-9326.594869,536.266849
2636.553890,9030.512492,-10066.800811,229.828649
2636.554218,7772.162391,-10881.027347,0.000000
2636.554546,7105.977043,-10510.924376,-383.047749
2636.554874,5033.400406,-9696.697840,0.000000
2636.555201,3849.070898,-10362.883188,229.828649
2636.555529,3923.091493,-10066.800811,-612.876398
2636.555857,3775.050304,-9844.739029,-689.485948
2636.556185,3108.864956,-9696.697840,-229.828649
2636.556513,2960.823768,-9104.533087,-306.438199
2636.556840,2664.741391,-7476.080014,-229.828649
2636.557168,2590.720797,-9030.512492,459.657299
2636.557496,2886.803174,-10288.862594,76.609550
2636.557824,3182.885551,-10881.027347,0.000000
2636.558152,3552.988522,-10436.903782,-459.657299
2636.558479,3108.864956,-11029.068536,-689.485948
2636.558807,1480.411884,-11991.336260,919.314598
2636.559135,0.000000,-11399.171507,919.314598
2636.559463,-2368.659014,-9770.718434,536.266849
2636.559790,-3849.070898,-9252.574275,0.000000
2636.560118,-4441.235652,-7698.141797,-1302.362347
2636.560446,-4515.256246,-7031.956449,76.609550
2636.560774,-3923.091493,-7624.121203,1149.143247
2636.561102,-3404.947333,-8586.388927,612.876398
2636.561429,-3108.864956,-8660.409521,153.219100
2636.561757,-3997.112087,-9474.636058,-919.314598
2636.562085,-4959.379811,-9622.677246,-1532.190996
2636.562413,-4589.276840,-8586.388927,-2374.896044
2636.562740,-2220.617826,-9474.636058,-1991.848295
2636.563068,222.061783,-11029.068536,-919.314598
2636.563396,1480.411884,-11917.315666,229.828649
2636.563724,1628.453072,-12065.356855,1072.533697
2636.564052,-370.102971,-10955.047942,1225.752797
2636.564379,-1110.308913,-8290.306550,-766.095498
2636.564707,-1628.453072,-6809.894666,-2528.115143
2636.565035,-1036.288319,-7550.100608,-1838.629195
2636.565363,888.247130,-8956.491898,-306.438199
2636.565691,2960.823768,-9918.759623,1302.362347
2636.566018,3404.947333,-9844.739029,1302.362347
2636.566346,1776.494261,-9474.636058,306.438199
2636.566674,444.123565,-9770.718434,-1149.143247
2636.567002,222.061783,-10732.986159,-1149.143247
2636.567329,2220.617826,-11177.109724,-2145.067394
2636.567657,4071.132681,-11991.336260,-2068.457845
2636.567985,3256.906145,-11547.212695,0.000000
2636.568313,1406.391290,-9622.677246,1225.752797
2636.568641,-296.082377,-7772.162391,689.485948
2636.568968,-2072.576638,-6883.915261,-383.047749
2636.569296,148.041188,-7550.100608,-2145.067394
2636.569624,3775.050304,-8660.409521,-2911.162892
2636.569952,5329.482782,-9770.718434,0.000000
2636.570280,6069.688724,-10584.944971,2911.162892
2636.570607,4811.338623,-10510.924376,3140.991542
2636.570935,2960.823768,-9474.636058,1991.848295
2636.571263,2368.659014,-9770.718434,76.609550
2636.571591,3997.112087,-11029.068536,-1991.848295
2636.571918,4663.297435,-11843.295072,-1072.533697
2636.572246,3404.947333,-12657.521608,842.705048
2636.572574,2294.638420,-11769.274478,766.095498
2636.572902,-2072.576638,-9104.533087,383.047749
2636.573230,-4071.132681,-7476.080014,-1225.752797
